Googel_Ads_CAR
1 มิถุนายน ค.ศ. 2026 - 14 มิถุนายน ค.ศ. 2026
วัน,คลิก,การแสดงผล,CTR,รหัสสกุลเงิน,CPC เฉลี่ย,ค่าใช้จ่าย
2026-06-01,"1,924","75,445",2.55%,THB,0.70,1347.38
2026-06-02,"1,738","44,536",3.90%,THB,0.92,1605.25
2026-06-03,"2,309","60,294",3.83%,THB,0.99,2278.55
2026-06-04,"1,050","26,271",4.00%,THB,0.99,1035.90
2026-06-05,"1,830","43,854",4.17%,THB,1.11,2039.74
2026-06-06,"1,639","34,363",4.77%,THB,0.79,1298.05
2026-06-07,0,0,0,THB,0,0.00
2026-06-08,"1,493","32,563",4.58%,THB,1.64,2454.78
2026-06-09,"2,191","44,154",4.96%,THB,1.04,2279.78
2026-06-10,"2,196","40,782",5.38%,THB,0.74,1614.45
2026-06-11,"2,279","41,840",5.45%,THB,0.82,1866.89
2026-06-12,"2,745","45,820",5.99%,THB,0.64,1759.05
2026-06-13,"3,196","56,323",5.67%,THB,0.54,1730.74
