Googel_Ads_MHL
1 มิถุนายน ค.ศ. 2026 - 30 มิถุนายน ค.ศ. 2026
วัน,คลิก,การแสดงผล,CTR,รหัสสกุลเงิน,CPC เฉลี่ย,ค่าใช้จ่าย
2026-06-01,425,"2,636",16.12%,THB,12.36,5251.59
2026-06-02,644,"5,146",12.51%,THB,10.99,7076.65
2026-06-03,547,"4,296",12.73%,THB,11.38,6223.36
2026-06-04,512,"3,829",13.37%,THB,12.01,6147.79
2026-06-05,484,"3,886",12.45%,THB,12.49,6046.66
2026-06-06,492,"4,311",11.41%,THB,11.65,5731.49
2026-06-07,0,0,0,THB,0,0.00
2026-06-08,805,"7,274",11.07%,THB,7.82,6294.86
2026-06-09,584,"6,012",9.71%,THB,9.09,5309.79
2026-06-10,0,0,0,THB,0,0.00
2026-06-11,884,"8,826",10.02%,THB,3.48,3077.99
2026-06-12,"1,332","15,738",8.46%,THB,4.44,5913.08
2026-06-13,"1,006","11,330",8.88%,THB,5.25,5280.73
2026-06-14,0,0,0,THB,0,0.00
2026-06-15,914,"11,300",8.09%,THB,9.32,8516.93
2026-06-16,943,"11,169",8.44%,THB,7.16,6756.32
2026-06-17,837,"8,986",9.31%,THB,7.54,6308.67
2026-06-18,857,"9,250",9.26%,THB,8.28,7098.55
2026-06-19,716,"7,823",9.15%,THB,6.90,4941.93
2026-06-20,124,"1,626",7.63%,THB,9.20,1140.67
2026-06-21,0,0,0,THB,0,0.00
2026-06-22,1,4,25.00%,THB,0.15,0.15
2026-06-23,829,"9,948",8.33%,THB,8.92,7392.21
2026-06-24,"1,350","15,497",8.71%,THB,5.56,7503.20
2026-06-25,950,"9,556",9.94%,THB,7.50,7121.30
2026-06-26,801,"9,823",8.15%,THB,7.03,5631.57
2026-06-27,744,"9,466",7.86%,THB,7.26,5400.11
2026-06-28,0,0,0,THB,0,0.00
2026-06-29,732,"6,963",10.51%,THB,7.56,5536.97
2026-06-30,559,"5,821",9.60%,THB,9.98,5581.57
