Google Ads-GFS
1 มิถุนายน ค.ศ. 2026 - 28 มิถุนายน ค.ศ. 2026
วัน,คลิก,การแสดงผล,รหัสสกุลเงิน,ค่าใช้จ่าย,CTR,CPC เฉลี่ย,Conversion
2026-06-01,197,"3,725",THB,5002.09,5.29%,25.39,26.75
2026-06-02,"2,522","46,791",THB,3652.37,5.39%,1.45,39.00
2026-06-03,0,0,THB,0.00,0,0,0.00
2026-06-04,"1,565","59,405",THB,634.93,2.63%,0.41,8.00
2026-06-05,212,"4,506",THB,5044.55,4.70%,23.80,16.00
2026-06-06,"3,130","70,464",THB,2694.78,4.44%,0.86,46.00
2026-06-07,0,0,THB,0.00,0,0,0.00
2026-06-08,"2,588","45,012",THB,5628.74,5.75%,2.17,35.37
2026-06-09,"3,250","46,515",THB,5307.63,6.99%,1.63,121.57
2026-06-10,"2,254","30,491",THB,4141.06,7.39%,1.84,58.45
2026-06-11,"2,119","28,797",THB,4180.52,7.36%,1.97,34.26
2026-06-12,"1,379","27,938",THB,2453.07,4.94%,1.78,14.00
2026-06-13,3,86,THB,0.76,3.49%,0.25,0.00
2026-06-14,0,0,THB,0.00,0,0,0.00
2026-06-15,"2,633","77,125",THB,2206.61,3.41%,0.84,9.70
2026-06-16,"1,292","35,705",THB,5584.85,3.62%,4.32,26.12
2026-06-17,"3,205","108,057",THB,7020.53,2.97%,2.19,24.67
2026-06-18,"2,566","54,096",THB,5842.90,4.74%,2.28,19.74
2026-06-19,486,"9,173",THB,4898.24,5.30%,10.08,14.00
2026-06-20,"1,684","25,871",THB,3862.26,6.51%,2.29,21.77
2026-06-21,0,0,THB,0.00,0,0,0.00
2026-06-22,71,"22,150",THB,593.00,0.32%,8.35,2.00
2026-06-23,316,"183,148",THB,7577.63,0.17%,23.98,33.76
2026-06-24,251,"189,507",THB,6029.50,0.13%,24.02,45.05
2026-06-25,226,"84,230",THB,6554.18,0.27%,29.00,53.01
2026-06-26,201,"118,840",THB,5026.16,0.17%,25.01,18.52
2026-06-27,151,"34,431",THB,4029.75,0.44%,26.69,21.35
