"SourceAccount","SourceFile","ReportRange","วัน","คลิก","การแสดงผล","CTR","รหัสสกุลเงิน","CPC เฉลี่ย","ค่าใช้จ่าย","Conversion"
"Googel_Ads_CAR","Googel_Ads_CAR.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-01","4,773","52,136","9.15%","THB","0.37","1749.56",""
"Googel_Ads_CAR","Googel_Ads_CAR.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-02","4,764","51,363","9.28%","THB","0.35","1645.59",""
"Googel_Ads_CAR","Googel_Ads_CAR.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-03","4,107","50,868","8.07%","THB","0.41","1692.45",""
"Googel_Ads_CAR","Googel_Ads_CAR.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-04","4,921","64,926","7.58%","THB","0.37","1816.22",""
"Googel_Ads_CAR","Googel_Ads_CAR.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-05","0","0","0","THB","0","0.00",""
"Googel_Ads_CAR","Googel_Ads_CAR.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-06","3,565","45,421","7.85%","THB","0.48","1713.80",""
"Googel_Ads_CAR","Googel_Ads_CAR.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-07","1,110","15,860","7.00%","THB","1.22","1352.76",""
"Googel_Ads_CAR","Googel_Ads_CAR.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-08","195","1,123","17.36%","THB","0.15","28.65",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-01","756","8,142","9.29%","THB","6.65","5025.40",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-02","210","2,065","10.17%","THB","8.77","1841.19",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-03","1,059","9,537","11.10%","THB","2.09","2210.11",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-04","1,012","11,988","8.44%","THB","4.48","4532.78",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-05","0","0","0","THB","0","0.00",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-06","729","7,564","9.64%","THB","8.22","5993.55",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-07","736","7,469","9.85%","THB","6.96","5126.10",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-08","11","38","28.95%","THB","11.44","125.79",""
"Google Ads-GFS","Google Ads-GFS.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-01","167","6,424","2.60%","THB","38.67","6457.57","43.35"
"Google Ads-GFS","Google Ads-GFS.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-02","231","178,816","0.13%","THB","25.67","5929.45","51.46"
"Google Ads-GFS","Google Ads-GFS.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-03","213","103,429","0.21%","THB","22.23","4735.60","28.56"
"Google Ads-GFS","Google Ads-GFS.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-04","132","113,246","0.12%","THB","16.46","2172.25","19.68"
"Google Ads-GFS","Google Ads-GFS.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-05","0","0","0","THB","0","0.00","0.00"
"Google Ads-GFS","Google Ads-GFS.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-06","283","101,787","0.28%","THB","33.41","9454.19","46.39"
"Google Ads-GFS","Google Ads-GFS.csv","1 กรกฎาคม ค.ศ. 2026 - 8 กรกฎาคม ค.ศ. 2026","2026-07-07","23","18,760","0.12%","THB","24.46","562.56","2.00"
